"","am_sid","genus","species","sciname","kingdom","phylum","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","Temperature"
"7017","Fis-48018","Acentrogobius","viridipunctatus","Acentrogobius viridipunctatus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7018","Fis-162367","Paramugil","parmatus","Paramugil parmatus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae",41.0059602722874,0.304388477548813,805.775396266695,9.06297496622062,2.41543157777351,0.555589880759829,21.1912524331785,22.409393222722
"7019","Fis-48095","Awaous","ocellaris","Awaous ocellaris","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7020","Fis-158809","Chaenogobius","gulosus","Chaenogobius gulosus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",11.7156969232868,0.694403509627356,9.17879069149636,3.82545560764621,0.817482044118359,1.37689299487215,6.20128384590496,18.1559066838883
"7021","Fis-48113","Moringua","javanica","Moringua javanica","Animalia","Chordata","Actinopterygii","Anguilliformes","Moringuidae",76.6878878160041,0.185965330103437,2535.50980203849,12.8584631510807,3.86309858340234,0.325239852284007,39.4728063010004,11.8445230275971
"7022","Fis-48118","Polyacanthonotus","rissoanus","Polyacanthonotus rissoanus","Animalia","Chordata","Actinopterygii","Notacanthiformes","Notacanthidae",33.7236805015612,0.346738912026165,327.830834887446,7.62293954433204,2.22392125846132,0.616344558386734,18.8154381003653,16.5066943879243
"7023","Fis-48132","Argentina","euchus","Argentina euchus","Animalia","Chordata","Actinopterygii","Osmeriformes","Argentinidae",26.7375481134692,0.344498242008196,154.890039646413,10.0712419081174,3.46122950336433,0.570749587169532,19.1208222903294,9.52538677313266
"7024","Fis-48135","Bathytroctes","squamosus","Bathytroctes squamosus","Animalia","Chordata","Actinopterygii","Osmeriformes","Alepocephalidae",30.4092176495533,0.316931735397771,227.060221087259,10.4319295294651,3.43774642811762,0.534223369579013,20.4230181937435,11.0430291479853
"7025","Fis-48148","Holtbyrnia","laticauda","Holtbyrnia laticauda","Animalia","Chordata","Actinopterygii","Osmeriformes","Platytroctidae",24.210694326407,0.51613374220095,96.5741107048084,6.51134135582679,2.13952946201867,0.821725565093636,16.5816380541494,10.2148538593076
"7026","Fis-48165","Rhinogobius","giurinus","Rhinogobius giurinus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7027","Fis-48256","Parioglossus","raoi","Parioglossus raoi","Animalia","Chordata","Actinopterygii","Perciformes","Microdesmidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7028","Fis-48290","Phycodurus","eques","Phycodurus eques","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae",18.2326476040719,0.961968359886101,11.682638248839,3.89976904200628,0.88789541292947,1.0655115730177,10.5789991444754,17.6361535059931
"7029","Fis-48308","Johnius","distinctus","Johnius distinctus","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae",33.233917711712,0.632157990775559,385.979339325148,5.31262123587426,1.30298497391682,1.08799058358909,17.8913926401236,26.1959541857333
"7030","Fis-48439","Ammodytoides","renniei","Ammodytoides renniei","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae",31.5301098141291,0.395089579041302,205.739322233937,9.28749588108098,2.30140550434947,0.66178201451111,18.5270005020732,14.3883127244068
"7031","Fis-48440","Atrobucca","alcocki","Atrobucca alcocki","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae",48.5974241353209,0.293978558514508,949.953286452512,9.89133614164759,2.53120011526567,0.528357807948619,25.3388641498911,21.1189951105337
"7032","Fis-48669","Pennahia","ovata","Pennahia ovata","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae",36.3904712056251,0.557108664614547,467.013205238371,5.77549933151616,1.44681306517594,1.00399438047915,19.3171622568384,24.2545142780218
"7033","Fis-48954","Chromogobius","quadrivittatus","Chromogobius quadrivittatus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7034","Fis-48992","Deltentosteus","quadrimaculatus","Deltentosteus quadrimaculatus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7035","Fis-49003","Gadomus","longifilis","Gadomus longifilis","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae",51.196743225694,0.165442341027011,834.11005525652,20.8423593722242,5.9001434478235,0.268193660607311,31.0145255326577,13.1199984646946
"7036","Fis-49011","Gobius","fallax","Gobius fallax","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",12.787208009306,0.500790206121981,18.9154449855112,5.21009821981334,0.957958651814602,0.890679449308893,6.78802774699686,16.2125248104171
"7037","Fis-49022","Gobius","geniporus","Gobius geniporus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",12.787208009306,0.500790206121981,18.9154449855112,5.21009821981334,0.957958651814602,0.890679449308893,6.78802774699686,16.2125248104171
"7038","Fis-49046","Hypleurochilus","bananensis","Hypleurochilus bananensis","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",22.1916174546873,0.437777677481808,118.795018337076,6.88085186495625,1.6704719467109,0.805042598597716,12.3290997219085,19.0425113122644
"7039","Fis-167765","Microlipophrys","canevae","Microlipophrys canevae","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",22.1916174546873,0.437777677481808,118.795018337076,6.88085186495625,1.6704719467109,0.805042598597716,12.3290997219085,19.0425113122644
"7040","Fis-165433","Microlipophrys","nigriceps","Microlipophrys nigriceps","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",22.1916174546873,0.437777677481808,118.795018337076,6.88085186495625,1.6704719467109,0.805042598597716,12.3290997219085,19.0425113122644
"7041","Fis-49074","Lipophrys","trigloides","Lipophrys trigloides","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",18.8044241251736,0.436606911230298,72.7512758593289,6.25850939877533,1.52835566522571,0.8825215990219,10.1590429994575,18.3552984127958
"7042","Fis-49081","Lycodonus","flagellicauda","Lycodonus flagellicauda","Animalia","Chordata","Actinopterygii","Perciformes","Zoarcidae",43.4199116484875,0.247033253897684,658.345685303698,11.1834642454777,2.92606073439843,0.462673347659841,23.3157985948434,13.6731488787995
"7043","Fis-49096","Nerophis","maculatus","Nerophis maculatus","Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae",17.1113550008808,0.943527515154716,8.76972048109959,4.01103232649234,0.911328003516719,1.00753567791899,10.1885586407303,14.2543618680267
"7044","Fis-49101","Nezumia","longebarbata","Nezumia longebarbata","Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae",39.8072664157673,0.168816288830683,425.955942153658,19.6588147569924,5.58728626148834,0.285849609834994,24.3978672708062,13.471423844483
"7045","Fis-49104","Notoscopelus","bolini","Notoscopelus bolini","Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae",12.2346154889068,0.492988068890828,22.5798190178302,4.77435780264091,1.5112225437391,1.09255020656963,7.49624028753897,11.6709836570293
"7046","Fis-49115","Odondebuenia","balearica","Odondebuenia balearica","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7047","Fis-49122","Oedalechilus","labeo","Oedalechilus labeo","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae",26.3199901745287,0.2883055863326,245.237371115923,8.97040623992389,2.40177769182292,0.562305261203577,14.0279877436106,21.5375532753309
"7048","Fis-49127","Parablennius","incognitus","Parablennius incognitus","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",17.8426170292593,0.504490927716172,59.6712341123489,6.00582857795643,1.45021863424071,0.929875410776689,10.0807681490531,19.1407521110138
"7049","Fis-49130","Parablennius","parvicornis","Parablennius parvicornis","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",17.8426170292593,0.504490927716172,59.6712341123489,6.00582857795643,1.45021863424071,0.929875410776689,10.0807681490531,19.1407521110138
"7050","Fis-49149","Parablennius","ruber","Parablennius ruber","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",14.34591160842,0.581370657389218,29.9731102392488,5.24208014003329,1.2590059301744,1.0740652495573,8.24244176518294,19.2389929097631
"7051","Fis-49155","Pteraclis","carolinus","Pteraclis carolinus","Animalia","Chordata","Actinopterygii","Perciformes","Bramidae",45.3072961038331,0.261209285543915,1031.75743907017,11.902825222403,2.93272590521655,0.443826028446245,24.6514670740102,18.0459034233742
"7052","Fis-49160","Symphodus","melanocercus","Symphodus melanocercus","Animalia","Chordata","Actinopterygii","Perciformes","Labridae",17.5139522913103,0.410351894690809,71.7899417891761,6.29573786966685,1.60569690271589,0.909530481526438,9.16613798400777,17.1838647872432
"7053","Fis-49171","Zebrus","zebrus","Zebrus zebrus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,19.2491623980272
"7054","Fis-49365","Calamopteryx","goslinei","Calamopteryx goslinei","Animalia","Chordata","Actinopterygii","Ophidiiformes","Bythitidae",25.2036331124667,0.419848277295168,122.878847298982,6.87397069020538,1.96961290204576,0.722690883412434,14.8186666032635,14.6811785983824
"7055","Fis-49390","Symphurus","ommaspilus","Symphurus ommaspilus","Animalia","Chordata","Actinopterygii","Pleuronectiformes","Cynoglossidae",20.1645406981255,0.39847003402038,62.4023771377952,7.18985443200921,1.72054591120588,0.631362201108418,10.838936655261,16.394355616204
"7056","Fis-49406","Apogon","robinsi","Apogon robinsi","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae",15.8163502647178,0.781521565663785,39.4383683178551,4.88355763483551,1.10594966297817,1.21034853105992,9.58819007929405,20.6753228522934
"7057","Fis-49648","Dactyloscopus","poeyi","Dactyloscopus poeyi","Animalia","Chordata","Actinopterygii","Perciformes","Dactyloscopidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7058","Fis-49672","Bajacalifornia","calcarata","Bajacalifornia calcarata","Animalia","Chordata","Actinopterygii","Osmeriformes","Alepocephalidae",31.4535294584375,0.30150612584682,252.403081845193,10.8538144815578,3.58504087141033,0.510914713858317,21.0331033282092,10.9115626713146
"7059","Fis-49685","Stathmonotus","gymnodermis","Stathmonotus gymnodermis","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7060","Fis-49704","Starksia","lepicoelia","Starksia lepicoelia","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7061","Fis-49707","Starksia","nanodes","Starksia nanodes","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7062","Fis-49708","Starksia","atlantica","Starksia atlantica","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7063","Fis-49718","Malacoctenus","boehlkei","Malacoctenus boehlkei","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7064","Fis-49721","Malacoctenus","erdmani","Malacoctenus erdmani","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7065","Fis-49730","Acanthemblemaria","maria","Acanthemblemaria maria","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7066","Fis-49731","Acanthemblemaria","spinosa","Acanthemblemaria spinosa","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7067","Fis-49737","Emblemariopsis","occidentalis","Emblemariopsis occidentalis","Animalia","Chordata","Actinopterygii","Perciformes","Chaenopsidae",38.5911168983685,0.352035020708141,627.082286464389,9.39336370164218,2.28309311454617,0.582582065890555,21.373183789281,19.6241550539349
"7068","Fis-49752","Grammatostomias","dentatus","Grammatostomias dentatus","Animalia","Chordata","Actinopterygii","Stomiiformes","Stomiidae",23.5397567149252,0.423800313495307,85.8694568757911,6.27355059101942,1.82504280173576,0.668768086628931,14.2697393878252,7.23954233221712
"7069","Fis-49753","Enneanectes","atrorus","Enneanectes atrorus","Animalia","Chordata","Actinopterygii","Perciformes","Tripterygiidae",24.4217867344113,0.53603899816557,138.187772812113,6.32031445101014,1.52021811790171,0.823255008650828,14.3891889830518,16.1588945928362
"7070","Fis-49767","Saurida","suspicio","Saurida suspicio","Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae",41.9236703405309,0.51553063542492,507.970723633715,4.95229495011043,1.39414849345562,0.898030773587817,21.0393016833878,25.4885950810965
"7071","Fis-49777","Myrophis","platyrhynchus","Myrophis platyrhynchus","Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae",77.8739958877853,0.194239030153385,2444.1454558289,12.6596596111406,3.79748411932415,0.327247225870484,40.7360041824579,9.80542849456062
"7072","Fis-49781","Quassiremus","ascensionis","Quassiremus ascensionis","Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae",77.8739958877853,0.194239030153385,2444.1454558289,12.6596596111406,3.79748411932415,0.327247225870484,40.7360041824579,9.80542849456062
"7073","Fis-49782","Callechelys","bilinearis","Callechelys bilinearis","Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae",77.8739958877853,0.194239030153385,2444.1454558289,12.6596596111406,3.79748411932415,0.327247225870484,40.7360041824579,9.80542849456062
"7074","Fis-49786","Melanorhinus","microps","Melanorhinus microps","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae",20.9346504139882,0.534735281675073,87.0068827231124,4.19000894898159,1.41149799757914,1.02215421103115,12.4416114422294,17.3011990903328
"7075","Fis-49798","Hypoplectrus","gummigutta","Hypoplectrus gummigutta","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae",46.5159804265546,0.244285881956405,1222.8220914442,13.3021573946746,4.17193517261428,0.41986704472218,27.2405537053479,23.1563262440973
"7076","Fis-49799","Hypoplectrus","guttavarius","Hypoplectrus guttavarius","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae",46.5159804265546,0.244285881956405,1222.8220914442,13.3021573946746,4.17193517261428,0.41986704472218,27.2405537053479,23.1563262440973
"7077","Fis-49800","Hypoplectrus","nigricans","Hypoplectrus nigricans","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae",46.5159804265546,0.244285881956405,1222.8220914442,13.3021573946746,4.17193517261428,0.41986704472218,27.2405537053479,23.1563262440973
"7078","Fis-49812","Lestidiops","affinis","Lestidiops affinis","Animalia","Chordata","Actinopterygii","Aulopiformes","Paralepididae",22.6248261289991,0.585636479017326,63.0903690002295,4.64516537930703,1.36587454554808,0.944792497687814,13.4922914052062,10.1463723414788
