"","am_sid","class","order","family","Loo","K","Winfinity","tmax","tm","M","Lm","depthrangedeep","demerspelag","EnvTemp","FeedingType","bodyshape","IUCN_Code","Resilience","pd50","vulnerability","importance","pricecateg"
"3259","Fis-160897","Actinopterygii","Pleuronectiformes","Cynoglossidae",35.9996785590932,0.358652119814606,272.890421894336,7.84578174553663,1.98780398659244,0.578654066976968,18.1211218346519,220,"demersal","temperate",NA,"short_andor_deep","NE","High",0.5,23.36,NA,NA
"3260","Fis-160898","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,45,"demersal","temperate",NA,"fusiform_normal","NE","High",0.5,10,NA,NA
"3261","Fis-160899","Actinopterygii","Perciformes","Gobiidae",13.0321262106335,0.61839934046548,13.2081690594649,4.27297643521014,0.905019975125257,1.22073765164542,6.79257882235088,70,"demersal","temperate",NA,"fusiform_normal","NE","High",0.5,10,NA,NA
"3262","Fis-160903","Actinopterygii","Perciformes","Pinguipedidae",34.8193802968339,0.327877203648132,443.710834961476,8.90308501892353,2.09361766732854,0.579452217818047,18.1925507278071,200,"pelagic","temperate",NA,"elongated","NE","High",0.5,25.86,NA,NA
"3263","Fis-160906","Actinopterygii","Perciformes","Sparidae",41.511389473507,0.219871351711492,1136.44214653851,16.2463045643431,3.3124645527479,0.32080096100363,22.3412686650527,NA,"pelagic","temperate",NA,"short_andor_deep","NT","Medium",0.5,35.95,NA,NA
"3264","Fis-160909","Actinopterygii","Pleuronectiformes","Bothidae",23.8406828916949,0.383990087899261,109.437050323054,7.86150151909915,1.67675664648251,0.570175857657146,12.1158110919998,NA,"demersal","temperate",NA,"short_andor_deep","NE","High",0.5,17.53,NA,NA
"3265","Fis-160910","Actinopterygii","Scorpaeniformes","Aploactinidae",28.8068687353037,0.262679323660732,253.412962813006,10.2303457892215,3.10306815469305,0.442474568493949,16.7781007403041,NA,"demersal","temperate",NA,NA,"NE",NA,0.5,10,NA,NA
"3266","Fis-160921","Elasmobranchii","Carcharhiniformes","Scyliorhinidae",121.146396736543,0.180179494024055,7511.54573386607,15.808213396554,5.78305162349287,0.264547450957729,76.2641265045026,200,"pelagic","subtropical",NA,"elongated","DD","Medium",0.5,37.21,NA,NA
"3267","Fis-160925","Elasmobranchii","Torpediniformes","Narkidae",119.523750558741,0.126564469325331,9928.05143401141,20.2122724461317,8.08536230247605,0.21910425040864,72.6144783508093,35,"demersal","subtropical",NA,"other","CR","Low",1.0002,29.2,NA,NA
"3268","Fis-160935","Elasmobranchii","Carcharhiniformes","Scyliorhinidae",121.146396736543,0.180179494024055,7511.54573386607,15.808213396554,5.78305162349287,0.264547450957729,76.2641265045026,74,"pelagic","tropical",NA,"elongated","DD","Medium",0.5156,37.7,NA,NA
"3269","Fis-160938","Elasmobranchii","Carcharhiniformes","Scyliorhinidae",121.146396736543,0.180179494024055,7511.54573386607,15.808213396554,5.78305162349287,0.264547450957729,76.2641265045026,1000,"pelagic","subtropical",NA,"elongated","EN","Medium",0.5312,44.47,NA,NA
"3270","Fis-160940","Elasmobranchii","Carcharhiniformes","Triakidae",127.374105146993,0.161356955956692,9809.23954408724,15.6634062329271,5.56207336096095,0.230954795269731,77.3443700190151,281,"pelagic","tropical",NA,"elongated","DD","Low",0.5,58.77,NA,NA
"3271","Fis-160944","Actinopterygii","Tetraodontiformes","Triacanthodidae",34.7279183401991,0.392621734519677,594.125961591069,6.52987796582264,2.02858737626128,0.811908148753521,19.1666614957859,500,"demersal","tropical",NA,NA,"NE",NA,0.625,10,NA,NA
"3272","Fis-160950","Elasmobranchii","Rajiformes","Rajidae",104.338096514414,0.140703815438169,6417.45177629678,15.8743214933597,7.81621934041319,0.25420649148146,69.1012189718154,670,"demersal","subtropical",NA,"other","LC","Medium",0.5312,29.55,NA,NA
"3273","Fis-160954","Elasmobranchii","Myliobatiformes","Urolophidae",69.3179640618072,0.13339008491449,1541.21859773071,13.0771205701659,4.17432544553064,0.282883576510338,34.2350305847123,79,"pelagic","subtropical",NA,"other","NT","Low",0.5,67.54,NA,NA
"3274","Fis-160961","Actinopterygii","Perciformes","Chiasmodontidae",22.3620048175388,0.456135693792832,102.803344371218,7.15734921405766,1.79474452063185,0.755928530823073,13.5232268634316,2270,"pelagic","subtropical",NA,"elongated","NE",NA,0.5078,10.89,NA,NA
"3275","Fis-160978","Actinopterygii","Perciformes","Apogonidae",16.1747159025822,0.764868797943606,43.393636241654,4.93418228539146,1.11968884929275,1.20377655838209,9.71130011343826,17,"reef-associated","tropical",NA,"short_andor_deep","LC","High",0.502,10,NA,"high"
